,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,MEGNO,MEGNOstd
898,0.17845320454306443,0.005242636145210826,0.0007341374113115081,0.003516265191732751,0.23344585342439794,0.001856483602909529,0.00018533682630501598,0.006100250583865055,2.000113715321078,0.22232446897286232
899,0.17845320454306401,0.0007947083093066045,6.872077219096371e-05,0.0029864332853539654,0.2334458534243975,0.002312612936241834,0.0006816214812181177,0.0025431435618553464,1.9994644238121704,0.2220251516384765
900,0.17845320454306532,0.001079290856518097,0.00012025781985038808,0.012893937731853778,0.23344585342439858,0.0012156783453882508,0.00035051326983226097,0.010063999544618386,2.3646488587545935,0.32510410170005655
901,0.17845320454306568,0.07843211379067332,0.01481537500346482,0.006894040680676183,0.23344585342439764,0.01510199256144437,0.0003703868429437471,0.020721442630639242,1.4199209852599823,0.5066204471136831
902,0.1784532045430644,0.00130997086269169,6.851756214830487e-05,0.0013002449658728976,0.23344585342439791,0.0007328228366544011,3.0408324439945722e-05,0.0016439673975418598,1.9996591864717403,0.22211097271386923
903,0.17845320454306554,0.0006282201706621217,1.5301959154634817e-05,0.0035471273568833516,0.23344585342439791,0.0005084699110474476,9.287393140344706e-05,0.002841195116036332,1.9984393199726391,0.2217706464699527
904,0.1784532045430655,0.009343137315711516,0.0019940077757635215,0.002923672055306115,0.2334458534243969,0.0022493080209403074,0.00013765885103399558,0.007338645679281337,2.000795737581478,0.22251064967691445
905,0.178453204543065,0.01558170698586233,0.0005644464845139005,0.03458976890339771,0.23344585342439686,0.0734494118794103,0.009716599899562795,0.011318948906716232,40.684088178724885,13.151643227068048
906,0.1784532045430647,0.0036399178149943098,0.0003258593378133482,0.005005021721807454,0.23344585342439847,0.005302587714240081,0.0004204999001435198,0.004486523150881397,2.000230149920002,0.22229951385859675
907,0.17845320454306549,0.0033052776368374627,0.00015101098761997198,0.005789282386364032,0.2334458534243972,0.005997873765334994,0.0002662797463822527,0.003962202835686246,2.000434894994215,0.22236486042972303
908,0.17845320454306582,0.0161838388317592,0.0016531244774005195,0.003856340804428396,0.23344585342439575,0.006968218605156291,0.00021056330114800425,0.008647886647581777,1.9996649474251302,0.22211214039639926
